Data,T_d0,P_d0,Z_d0,W/W
23.09.2014 00,9.0,5.1,4,0
23.09.2014 01,9.0,4.6,2,0
23.09.2014 02,7.5,3.6,4,0
23.09.2014 03,7.0,3.6,2,0
23.09.2014 04,8.0,3.6,4,0
23.09.2014 05,8.0,5.1,5,0
23.09.2014 06,8.0,4.1,6,0
23.09.2014 07,8.2,4.6,6,0
23.09.2014 08,8.7,5.1,7,0
23.09.2014 09,9.2,5.7,7,0
23.09.2014 10,9.8,5.7,7,0
23.09.2014 11,10.5,6.2,7,0
23.09.2014 12,10.7,6.7,7,0
23.09.2014 13,10.7,7.2,7,0
23.09.2014 14,11.2,7.2,7,0
23.09.2014 15,12.0,7.2,6,0
23.09.2014 16,12.2,7.2,5,0
23.09.2014 17,11.4,7.2,4,0
23.09.2014 18,10.3,6.2,4,0
23.09.2014 19,9.3,5.1,4,0
23.09.2014 20,8.4,4.6,4,0
23.09.2014 21,7.5,3.6,4,0
23.09.2014 22,7.2,3.1,4,0
23.09.2014 23,7.1,3.1,3,0
